,id,FILING-DATE,CIK,CONFORMED-NAME,type,ASSIGNED-SIC,CITY,STATE,ZIP,filing-year,10k-min-year
114,13712758,2020-08-17,12239,Aikido Pharma Inc.,S-1,8731.0,NEW YORK,NY,10020,2020,2020.0
115,13713530,2020-08-17,1818674,SYBLEU Inc,S-1,,CHEYENNE,WY,82001,2020,
116,13714351,2020-08-17,1807166,Amesite Operating Co,S-1,7372.0,ANN ARBOR,MI,48104,2020,
117,13707010,2020-08-14,1818331,"CM Life Sciences, Inc.",S-1,6770.0,NEW YORK,NY,10020,2020,
119,13711365,2020-08-14,1814140,Brookline Capital Acquisition Corp.,S-1,6770.0,NEW YORK,NY,10022,2020,
123,13708069,2020-08-14,867840,"PRECISION OPTICS CORPORATION, INC.",S-1,3845.0,GARDNER,MA,01440,2020,
125,13707833,2020-08-14,1819157,North Mountain Merger Corp.,S-1,,NEW YORK,NY,10153,2020,
127,13711184,2020-08-14,825322,MPHASE TECHNOLOGIES INC,S-1,3690.0,GAITHERSBURG,MD,20878,2020,
128,13714543,2020-08-14,1614556,Star Alliance International Corp.,S-1,1040.0,WESTLAKE VILLAGE,CA,91362,2020,2020.0
131,13706912,2020-08-14,1808898,Benitec Biopharma Inc.,S-1,2834.0,"MELBOURNE, VIC",C3,3000,2020,
135,13709542,2020-08-14,1605331,AB INTERNATIONAL GROUP CORP.,S-1,6794.0,"KWUN TONG, KOWLOON",K3,00000,2020,
145,13704795,2020-08-13,1659323,Iterum Therapeutics plc,S-1,2834.0,DUBLIN,L2,2,2020,2020.0
146,13704541,2020-08-13,1815805,Broadstone Acquisition Corp.,S-1,6770.0,"MARYLEBONE, LONDON",X0,W1H 6AY,2020,
162,13704398,2020-08-13,1505611,"DecisionPoint Systems, Inc.",S-1,7370.0,IRVINE,CA,92618,2020,
165,13702924,2020-08-12,1500198,NEUROONE MEDICAL TECHNOLOGIES Corp,S-1,3841.0,EDEN PRAIRIE,MN,55344,2020,
166,13700879,2020-08-12,1819175,Prime Impact Acquisition I,S-1,6770.0,SAN JOSE,CA,95113,2020,
167,13701141,2020-08-12,1021604,ON TRACK INNOVATIONS LTD,S-1,3674.0,YOKNEAM,L3,2069200,2020,2020.0
168,13703189,2020-08-12,1701756,"Muscle Maker, Inc.",S-1,5810.0,BURLESON,TX,76028,2020,2020.0
171,13701829,2020-08-12,1415311,ProShares Trust II,S-1,6221.0,BETHESDA,MD,20814,2020,2020.0
172,13700356,2020-08-11,1484769,"FaceBank Group, Inc.",S-1,7812.0,NEW YORK,NY,10019,2020,2020.0
175,13699642,2020-08-11,1751143,"ATLAS TECHNICAL CONSULTANTS, INC.",S-1,8742.0,AUSTIN,TX,78738,2020,2020.0
176,13699138,2020-08-11,1738021,"Compass Therapeutics, Inc.",S-1,2836.0,CAMBRIDGE,MA,02142,2020,2020.0
178,13699686,2020-08-11,1626199,"ALPINE IMMUNE SCIENCES, INC.",S-1,2834.0,SEATTLE,WA,98102,2020,2020.0
181,13699247,2020-08-11,1388658,"iRhythm Technologies, Inc.",S-1,3841.0,San Francisco,CA,94103,2020,2020.0
186,13697827,2020-08-10,1490978,"Schrodinger, Inc.",S-1,2834.0,NEW YORK,NY,10036,2020,2020.0
187,13697349,2020-08-10,1517375,"Sprout Social, Inc.",S-1,7372.0,CHICAGO,IL,60603,2020,2020.0
195,13696199,2020-08-10,1755953,Akerna Corp.,S-1,7374.0,DENVER,CO,80202,2020,
197,13694973,2020-08-10,1549922,"Summit Midstream Partners, LP",S-1,4922.0,THE WOODLANDS,TX,77380,2020,2020.0
198,13694215,2020-08-07,1816090,FTAC Olympus Acquisition Corp.,S-1,6770.0,PHILADELPHIA,PA,19104,2020,
201,13691780,2020-08-07,1816696,"Industrial Tech Acquisitions, Inc.",S-1,6770.0,HOUSTON,TX,77056,2020,
204,13693132,2020-08-07,1818152,"OFF Line International, Inc.",S-1,,"SHINJUKU-KU, JAPAN",M0,160-0004,2020,
205,13691877,2020-08-07,1811856,CF Finance Acquisition Corp II,S-1,6770.0,NEW YORK,NY,10022,2020,
206,13690901,2020-08-06,1301991,"SmartMetric, Inc.",S-1,3990.0,LAS VEGAS,NV,89169,2020,
207,13688385,2020-08-06,725394,DALRADA FINANCIAL CORP,S-1,7363.0,ESCONDIDO,CA,92025,2020,2020.0
212,13690268,2020-08-06,1471824,Teucrium Commodity Trust,S-1,6221.0,BURLINGTON,VT,05401,2020,2020.0
216,13689031,2020-08-06,1820222,"4DMed, Ltd.",S-1,,SPARKS,NV,89431,2020,
217,13690323,2020-08-06,1629606,"Driven Deliveries, Inc.",S-1,8742.0,EL SEGUNDO,CA,90245,2020,2020.0
218,13690093,2020-08-06,1506492,"CHF Solutions, Inc.",S-1,3845.0,EDEN PRAIRIE,MN,55344,2020,2020.0
219,13689338,2020-08-06,1807765,PMV Consumer Acquisition Corp.,S-1,6770.0,PALM BEACH,FL,33480,2020,
220,13686545,2020-08-05,1796297,Bymax Corp.,S-1,,MANZHOULI CITY,F4,021400,2020,
226,13682182,2020-08-04,1803827,Pipergy Inc.,S-1,,NEWCASTLE,WY,82701,2020,
227,13682542,2020-08-04,1815737,FAST Acquisition Corp.,S-1,6770.0,POUND RIDGE,NY,10576,2020,
228,13684104,2020-08-04,1819313,TWC Tech Holdings II Corp.,S-1,,SAN FRANCISCO,CA,94111,2020,
229,13683092,2020-08-04,1818382,Alpha Healthcare Acquisition Corp.,S-1,,NEW YORK,NY,10105,2020,
230,13683927,2020-08-04,1816581,Colonnade Acquisition Corp.,S-1,6770.0,WEST PALM BEACH,FL,33401,2020,
231,13678391,2020-08-03,1817071,Horizon Acquisition Corp,S-1,6770.0,GREENWICH,CT,06830,2020,
235,13679533,2020-08-03,1816431,HighCape Capital Acquisition Corp.,S-1,6770.0,NEW YORK,NY,10018,2020,
236,13679548,2020-08-03,1706946,"Virgin Galactic Holdings, Inc",S-1,4700.0,LAS CRUCES,NM,88011,2020,2020.0
237,13679570,2020-08-03,1818355,Foley Trasimene Acquisition II,S-1,6770.0,LAS VEGAS,NV,89134,2020,
241,13676335,2020-07-31,1818212,CSR Acquisition Corp.,S-1,6770.0,WILMINGTON,DE,19801,2020,
242,13675066,2020-07-31,1815526,Burgundy Technology Acquisition Corp,S-1,6770.0,GRAND CAYMAN,E9,KY1-1104,2020,
244,13674561,2020-07-31,1815442,"Kymera Therapeutics, Inc.",S-1,2836.0,CAMBRIDGE,MA,02139,2020,
248,13676992,2020-07-31,1758766,Star Peak Energy Transition Corp.,S-1,6770.0,EVANSTON,IL,60201,2020,
249,13673706,2020-07-31,1725134,"Digital Media Solutions, Inc.",S-1,7389.0,CLEARWATER,FL,33762,2020,2020.0
251,13672498,2020-07-30,1819035,INSU Acquisition Corp. II,S-1,,PHILADELPHIA,PA,19104,2020,
253,13675369,2020-07-30,1819133,BCTG Acquisition Corp.,S-1,,SAN DIEGO,CA,92130,2020,
254,13671105,2020-07-30,1816613,one,S-1,6770.0,SAN FRANCISCO,CA,94129,2020,
258,13669466,2020-07-29,1784168,Forum Merger III Corp,S-1,6770.0,DELRAY BEACH,FL,33445,2020,
261,13669517,2020-07-29,1795938,Creations Inc,S-1,6199.0,NEW YORK,NY,10036,2020,
264,13669874,2020-07-29,1810560,Petra Acquisition Inc.,S-1,6770.0,NEW YORK,NY,10010,2020,
266,13667880,2020-07-28,1815184,RedBall Acquisition Corp.,S-1,6770.0,NEW YORK,NY,10065,2020,
267,13665837,2020-07-28,1675634,"ShiftPixy, Inc.",S-1,7361.0,IRVINE,CA,92618,2020,
269,13666931,2020-07-28,1622345,"Polar Power, Inc.",S-1,3690.0,GARDENA,CA,90248,2020,2020.0
272,13666228,2020-07-28,1739614,"Inhibrx, Inc.",S-1,2836.0,LA JOLLA,CA,92037,2020,
277,13664794,2020-07-27,1430523,"VERUS INTERNATIONAL, INC.",S-1,5141.0,GAITHERSBURG,MD,20878,2020,2020.0
279,13663843,2020-07-27,1372184,"New You, Inc.",S-1,2844.0,CARLSBAD,CA,92010,2020,2020.0
281,13663912,2020-07-27,1802450,Lionheart Acquisition Corp. II,S-1,6770.0,MIAMI,FL,33137,2020,
283,13664182,2020-07-27,1802665,"Harmony Biosciences Holdings, Inc.",S-1,2834.0,PLYMOUTH MEETING,PA,19462,2020,
285,13664499,2020-07-27,1815495,Northern Genesis Acquisition Corp.,S-1,6770.0,KANSAS CITY,MO,64112,2020,
286,13663994,2020-07-27,1725160,"Zentalis Pharmaceuticals, Inc.",S-1,2834.0,NEW YORK,NY,10018,2020,
290,13662795,2020-07-24,1818201,Dragoneer Growth Opportunities Corp.,S-1,6770.0,SAN FRANCISCO,CA,94129,2020,
291,13661260,2020-07-24,1753706,"Whole Earth Brands, Inc.",S-1,2060.0,CHICAGO,IL,60606,2020,2020.0
292,13661538,2020-07-24,811240,"BIOLASE, INC",S-1,3843.0,IRVINE,CA,92618,2020,2020.0
293,13663147,2020-07-24,1816017,"NavSight Holdings, Inc.",S-1,6770.0,CLIFTON,VA,20124,2020,
294,13661372,2020-07-24,1816736,FS Development Corp.,S-1,6770.0,SAN FRANCISCO,CA,94111,2020,
297,13661423,2020-07-24,1815849,Fortress Value Acquisition Corp. II,S-1,6770.0,NEW YORK,NY,10105,2020,
298,13660449,2020-07-23,1160951,"DUCK CREEK TECHNOLOGIES, INC.",S-1,7372.0,BOSTON,MA,02210,2020,
302,13659109,2020-07-23,1750149,"Inhibikase Therapeutics, Inc.",S-1,2836.0,ATLANTA,GA,30339,2020,
303,13657433,2020-07-22,1431074,"Bergio International, Inc.",S-1,3910.0,EAST FAIRFIELD,NJ,07004,2020,2020.0
304,13657699,2020-07-22,1640384,"LM FUNDING AMERICA, INC.",S-1,6199.0,TAMPA,FL,33602,2020,2020.0
306,13655860,2020-07-21,1814824,Kismet Acquisition One Corp,S-1,6770.0,MOSCOW,1Z,125196,2020,
309,13656263,2020-07-21,1725255,AdaptHealth Corp.,S-1,8082.0,PLYMOUTH MEETING,PA,19462,2020,2020.0
310,13656048,2020-07-21,1808805,ARYA Sciences Acquisition Corp III,S-1,6770.0,NEW YORK,NY,10003,2020,
313,13654382,2020-07-20,1816816,Gores Holdings V Inc.,S-1,,BEVERLY HILLS,CA,90212,2020,
314,13653908,2020-07-20,832489,"GeoVax Labs, Inc.",S-1,8731.0,SMYRNA,2Q,30080,2020,2020.0
315,13655458,2020-07-20,1713210,Agape ATP Corp,S-1,8000.0,KUALA LUMPUR,N8,58100,2020,2020.0
316,13654950,2020-07-20,1368365,"REMARK HOLDINGS, INC.",S-1,4899.0,LAS VEGAS,NV,89106,2020,2020.0
318,13652995,2020-07-17,1797762,"Kenongwo Group US, Inc.",S-1,2870.0,"YICHUN CITY, JIANGXI PROVINCE",F4,336000,2020,
321,13653039,2020-07-17,1591913,"Innovative Payment Solutions, Inc.",S-1,5961.0,NORTHRIDGE,CA,91324,2020,2020.0
322,13652542,2020-07-17,1731289,Nikola Corp,S-1,3711.0,PHOENIX,AZ,85040,2020,2020.0
324,13652310,2020-07-17,1814114,Health Sciences Acquisitions Corp 2,S-1,6770.0,NEW YORK,NY,10011,2020,
325,13652873,2020-07-17,1813756,BowX Acquisition Corp.,S-1,6770.0,MENLO PARK,CA,94025,2020,
327,13653154,2020-07-17,1814329,Holicity Inc.,S-1,6770.0,KIRKLAND,WA,98033,2020,
329,13652659,2020-07-17,1815302,Yucaipa Acquisition Corp,S-1,6770.0,LOS ANGELES,CA,90069,2020,
330,13652973,2020-07-17,1651431,"Checkmate Pharmaceuticals, Inc.",S-1,2836.0,CAMBRIDGE,MA,02142,2020,
331,13650492,2020-07-16,1811109,"Applied UV, Inc.",S-1,3640.0,MOUNT VERNON,NY,10550,2020,
333,13650316,2020-07-16,1716621,"Ra Medical Systems, Inc.",S-1,3841.0,CARLSBAD,CA,92011,2020,2020.0
334,13650323,2020-07-16,862651,"Investview, Inc.",S-1,7389.0,EATONTOWN,NJ,07724,2020,2020.0
335,13650088,2020-07-16,1802546,"KONA GOLD SOLUTIONS, INC.",S-1,,MELBOURNE,FL,32934,2020,
338,13648923,2020-07-15,1522860,"Acutus Medical, Inc.",S-1,3841.0,CARLSBAD,CA,92008,2020,
340,13649319,2020-07-15,1812667,CC Neuberger Principal Holdings II,S-1,6770.0,NEW YORK,NY,10166,2020,
344,13648136,2020-07-14,1413263,"CHINA JO-JO DRUGSTORES, INC.",S-1,5912.0,ZHEJIANG PROVINCE,F4,310008,2020,2020.0
349,13647700,2020-07-14,1811210,Churchill Capital Corp IV,S-1,6770.0,NEW YORK,NY,10019,2020,
351,13647040,2020-07-14,109657,"GT Biopharma, Inc.",S-1,2834.0,WESTLAKE VILLAGE,CA,91362,2020,2020.0
353,13646800,2020-07-14,1329606,"Clean Energy Technologies, Inc.",S-1,3672.0,COSTA MESA,CA,92626,2020,2020.0
358,13645374,2020-07-13,1811509,"NEW AFRICA PETROLEUM, CORP",S-1,,NEWARK,NJ,07102,2020,
360,13645409,2020-07-13,1718405,HYCROFT MINING HOLDING CORP,S-1,1040.0,NEW YORK,NY,10022,2020,2020.0
361,13646462,2020-07-13,1626450,"BigCommerce Holdings, Inc.",S-1,7372.0,AUSTIN,TX,78726,2020,
364,13646495,2020-07-13,1814728,E.Merge Technology Acquisition Corp.,S-1,6770.0,BURLINGAME,CA,94010,2020,
366,13645513,2020-07-13,1516551,"Emerald Bioscience, Inc.",S-1,2834.0,LONG BEACH,CA,90803,2020,2020.0
367,13646578,2020-07-13,1127993,"GALAXY NEXT GENERATION, INC.",S-1,7830.0,TOCCOA,GA,30577,2020,
370,13643308,2020-07-10,1805385,NewHold Investment Corp.,S-1,6770.0,NEW YORK,NY,10017,2020,
371,13644333,2020-07-10,1564406,"Oak Street Health, Inc.",S-1,8000.0,CHICAGO,IL,60603,2020,
372,13644885,2020-07-10,1810019,"Rackspace Technology, Inc.",S-1,7370.0,SAN ANTONIO,TX,78218,2020,
373,13643872,2020-07-10,1810491,Vistas Media Acquisition Co Inc.,S-1,6770.0,NEW YORK,NY,10005,2020,
378,13644681,2020-07-10,1365916,"AMYRIS, INC.",S-1,2860.0,EMERYVILLE,CA,94608,2020,2020.0
382,13645013,2020-07-10,1582982,"MTBC, Inc.",S-1,7372.0,SOMERSET,NJ,08873,2020,2020.0
384,13641998,2020-07-09,1019034,BIO KEY INTERNATIONAL INC,S-1,3576.0,WALL,NJ,07719,2020,2020.0
385,13641743,2020-07-09,1579733,"Vital Farms, Inc.",S-1,2000.0,AUSTIN,TX,78744,2020,
388,13642337,2020-07-09,1533040,Phio Pharmaceuticals Corp.,S-1,2834.0,MARLBOROUGH,MA,01752,2020,2020.0
389,13641847,2020-07-09,1755953,Akerna Corp.,S-1,7374.0,DENVER,CO,80202,2020,
396,13641267,2020-07-08,1695473,"Greater Cannabis Company, Inc.",S-1,2834.0,BALTIMORE,MD,21208,2020,2020.0
398,13639269,2020-07-08,1682149,"Summit Wireless Technologies, Inc.",S-1,3674.0,SAN JOSE,CA,95119,2020,2020.0
400,13640171,2020-07-08,1417926,"INVO Bioscience, Inc.",S-1,3841.0,SARASOTA,FL,34240,2020,2020.0
403,13638410,2020-07-07,1607962,ReWalk Robotics Ltd.,S-1,3842.0,YOKNEAM ILIT,L3,20692,2020,2020.0
404,13637494,2020-07-07,1805284,"Rocket Companies, Inc.",S-1,6162.0,DETROIT,MI,48226,2020,
407,13634358,2020-07-06,1001907,ASTROTECH Corp,S-1,3826.0,AUSTIN,TX,78701,2020,
408,13636441,2020-07-06,1754068,"Allovir, Inc.",S-1,2836.0,HOUSTON,TX,77098,2020,
410,13634161,2020-07-06,1679826,Ping Identity Holding Corp.,S-1,7372.0,DENVER,CO,80202,2020,2020.0
412,13633932,2020-07-06,1744659,"Akero Therapeutics, Inc.",S-1,2834.0,SOUTH SAN FRANCISCO,CA,94080,2020,2020.0
413,13635219,2020-07-06,1706431,"Vir Biotechnology, Inc.",S-1,2836.0,SAN FRANCISCO,CA,94158,2020,2020.0
416,13635013,2020-07-06,1785173,"89bio, Inc.",S-1,2834.0,SAN FRANCISCO,CA,94105,2020,2020.0
418,13634529,2020-07-06,1813658,ACE Convergence Acquisition Corp.,S-1,6770.0,WILMINGTON,DE,19805,2020,
420,13634556,2020-07-06,1628171,"Revolution Medicines, Inc.",S-1,2836.0,REDWOOD CITY,CA,94063,2020,2020.0
421,13630981,2020-07-02,1805521,Property Solutions Acquisition Corp.,S-1,6770.0,NEW YORK,NY,10065,2020,
422,13629718,2020-07-02,1805651,Ascendant Digital Acquisition Corp.,S-1,6770.0,NEW YORK,NY,10065,2020,
424,13631787,2020-07-02,1803977,"BIO LAB NATURALS, INC.",S-1,,DENVER,CO,80206,2020,
425,13633336,2020-07-02,1811623,"PaxMedica, Inc.",S-1,2834.0,CAMPBELL,CA,95008,2020,
426,13630278,2020-07-02,1528115,"Annexon, Inc.",S-1,2834.0,PALO ALTO,CA,94306,2020,
427,13631080,2020-07-02,1806837,"Vertex, Inc.",S-1,7372.0,KING OF PRUSSIA,PA,19406,2020,
428,13630825,2020-07-02,1078799,"Marijuana Co of America, Inc.",S-1,2833.0,ESCONDIDO,CA,92029,2020,2020.0
431,13632891,2020-07-02,1693011,"Inozyme Pharma, Inc.",S-1,2834.0,BOSTON,MA,02210,2020,
433,13633683,2020-07-02,1549084,"EKSO BIONICS HOLDINGS, INC.",S-1,3569.0,RICHMOND,CA,94804,2020,2020.0
434,13629843,2020-07-02,1814287,East Resources Acquisition Co,S-1,6770.0,BOCA RATON,FL,33487,2020,
436,13629859,2020-07-02,1513525,"ADIAL PHARMACEUTICALS, INC.",S-1,2834.0,CHARLOTTESVILLE,VA,22902,2020,2020.0
437,13632933,2020-07-02,1029125,"Sun BioPharma, Inc.",S-1,2834.0,WACONIA,MN,55387,2020,2020.0
439,13630901,2020-07-02,1661053,"Hancock Jaffe Laboratories, Inc.",S-1,3841.0,IRVINE,CA,92618,2020,2020.0
440,13632696,2020-07-02,1729750,"Kubient, Inc.",S-1,7373.0,NEW YORK,NY,10011,2020,
442,13633730,2020-07-02,725363,CEL SCI CORP,S-1,2836.0,VIENNA,VA,22182,2020,
443,13632197,2020-07-02,1437491,"Ecoark Holdings, Inc.",S-1,3089.0,FRISCO,TX,72712,2020,2020.0
445,13629385,2020-07-02,1549595,"Nurix Therapeutics, Inc.",S-1,2834.0,SAN FRANCISCO,CA,94158,2020,
447,13632753,2020-07-02,1591165,"H-CYTE, INC.",S-1,3841.0,TAMPA,FL,33602,2020,2020.0
448,13628477,2020-07-01,1816554,EVENTIKO INC,S-1,,BEIJING,F4,100026,2020,
451,13625818,2020-07-01,1708341,"Allied Esports Entertainment, Inc.",S-1,7900.0,IRVINE,CA,92614,2020,2020.0
452,13628394,2020-07-01,1806201,Open Lending Corp,S-1,6141.0,AUSTIN,TX,78746,2020,
454,13623812,2020-06-30,1813914,Deerfield Healthcare Technology Acquisitions Corp.,S-1,6770.0,NEW YORK,NY,10017,2020,
458,13625889,2020-06-30,1721947,Jamf Holding Corp.,S-1,7372.0,MINNEAPOLIS,MN,55401,2020,
461,13621053,2020-06-30,1643615,"Montrose Environmental Group, Inc.",S-1,8742.0,IRVINE,CA,92614,2020,
474,13623213,2020-06-30,1394319,"Tracon Pharmaceuticals, Inc.",S-1,2836.0,San Diego,CA,92122,2020,2020.0
475,13624263,2020-06-30,1816176,GO Acquisition Corp.,S-1,,NEW YORK,NY,10014,2020,
478,13623259,2020-06-30,1074828,"KNOW LABS, INC.",S-1,3829.0,SEATTLE,WA,98101,2020,
485,13625369,2020-06-29,18172,A. M. Castle & Co.,S-1,5051.0,OAK BROOK,IL,60523,2020,2020.0
490,13625396,2020-06-29,1725255,AdaptHealth Corp.,S-1,8082.0,PLYMOUTH MEETING,PA,19462,2020,2020.0
494,13626710,2020-06-29,1507605,"Marathon Patent Group, Inc.",S-1,6794.0,LAS VEGAS,NV,89144,2020,2020.0
514,13620676,2020-06-29,1772695,Sunnova Energy International Inc.,S-1,4931.0,HOUSTON,TX,77046,2020,2020.0
522,13618195,2020-06-26,1810182,ALX ONCOLOGY HOLDINGS INC,S-1,2834.0,BURLINGAME,CA,94010,2020,
530,13617257,2020-06-26,1213037,"Cardiff Oncology, Inc.",S-1,2836.0,SAN DIEGO,CA,92121,2020,2020.0
531,13619314,2020-06-26,6176,AMPCO PITTSBURGH CORP,S-1,3561.0,CARNEGIE,PA,15106,2020,2020.0
532,13618549,2020-06-26,1816101,"dMY Technology Group, Inc. II",S-1,,LAS VEGAS,NV,89144,2020,
533,13619580,2020-06-26,1809353,HPX Corp.,S-1,6770.0,WILMINGTON,DE,19801,2020,
538,13618329,2020-06-26,1170005,ACELL INC,S-1,3841.0,JESSUP,MD,20794,2020,
539,13617307,2020-06-26,1807594,Malacca Straits Acquisition Co Ltd,S-1,6770.0,TORTOLA,E9,VG1110,2020,
540,13616798,2020-06-26,1689657,"Berkeley Lights, Inc.",S-1,3826.0,EMERYVILLE,CA,94608,2020,
541,13619379,2020-06-26,1807901,Pandion Therapeutics Holdco LLC,S-1,2834.0,WATERTOWN,MA,02472,2020,
545,13616620,2020-06-26,1043961,"Precipio, Inc.",S-1,3826.0,NEW HAVEN,CT,06511,2020,2020.0
547,13619711,2020-06-26,1812173,D8 Holdings Corp.,S-1,6770.0,CENTRAL,K3,00000,2020,
551,13614872,2020-06-25,1574235,"Pulmatrix, Inc.",S-1,2834.0,LEXINGTON,MA,02421,2020,2020.0
552,13615129,2020-06-25,1802457,Artius Acquisition Inc.,S-1,6770.0,NEW YORK,NY,10152,2020,
568,13612323,2020-06-24,1446159,Predictive Oncology Inc.,S-1,3842.0,EAGAN,MN,55121,2020,2020.0
575,13613225,2020-06-24,1812364,"Relay Therapeutics, Inc.",S-1,2836.0,CAMBRIDGE,MA,02139,2020,
576,13613747,2020-06-24,1808865,"iTeos Therapeutics, Inc.",S-1,2836.0,CAMBRIDGE,MA,02142,2020,
582,13611142,2020-06-23,1561921,"TELA Bio, Inc.",S-1,3841.0,MALVERN,PA,19355,2020,2020.0
583,13610935,2020-06-23,1528172,"ENDONOVO THERAPEUTICS, INC.",S-1,2834.0,WOODLAND HILLS,CA,91367,2020,2020.0
586,13609227,2020-06-22,1566895,"NCINO, INC.",S-1,7372.0,WILMINGTON,NC,28405,2020,
589,13607210,2020-06-22,1447362,CASTLE BIOSCIENCES INC,S-1,8071.0,FRIENDSWOOD,TX,77546,2020,2020.0
591,13608528,2020-06-22,1436229,BTCS Inc.,S-1,7372.0,SILVER SPRING,MD,20901,2020,2020.0
594,13609138,2020-06-22,1811882,"Pershing Square Tontine Holdings, Ltd.",S-1,6770.0,NEW YORK,NY,10019,2020,
595,13608627,2020-06-22,1404123,1Life Healthcare Inc,S-1,8011.0,San Francisco,CA,94111,2020,2020.0
596,13607875,2020-06-22,1794311,"Branded Legacy, Inc.",S-1,,LONGWOOD,FL,32750,2020,
